#x      Re=100 (V)   Re =400 (V)
0        0           0.0000   
0.0625   0.0923      0.1836   
0.0703   0.1009      0.1971   
0.0781   0.1089      0.2092   
0.0938   0.1232      0.2297   
0.1563   0.1608      0.2812   
0.2266   0.1751      0.3020   
0.2344   0.1753      0.3017   
0.5      0.0545      0.0519   
0.8047   -0.2453     -0.3860  
0.8594   -0.2245     -0.4499   
0.9063   -0.1691     -0.3383   
0.9453   -0.1031     -0.2285   
0.9531   -0.0886     -0.1925   
0.9609   -0.0739     -0.1566   
0.9688   -0.0591     -0.1215   
1.0000   0.0000      0.0000
