#           y           U_x           U_y           U_z
      -0.0049             0             0             0
  -0.00479798    -0.0121764   3.49278e-05   1.76031e-22
  -0.00469596    -0.0234771    0.00013317   1.25609e-22
  -0.00459394    -0.0339511   0.000286164  -5.19231e-22
  -0.00449192    -0.0435684   0.000486001   2.91477e-22
   -0.0043899    -0.0523636   0.000723884   7.67496e-21
  -0.00428788    -0.0602205   0.000991623  -8.37481e-21
  -0.00418586    -0.0672411    0.00128045  -6.84889e-21
  -0.00408384    -0.0733707    0.00158283   -1.4795e-20
  -0.00398182    -0.0785682    0.00189113   6.61186e-21
   -0.0038798      -0.08282    0.00219656  -1.75073e-20
  -0.00377778    -0.0861238    0.00249159   1.81629e-20
  -0.00367576    -0.0885233     0.0027696  -6.92244e-21
  -0.00357374    -0.0900788    0.00302673  -5.40763e-20
  -0.00347172    -0.0905917    0.00324583  -2.00434e-20
   -0.0033697     -0.090072    0.00342657   6.15149e-20
  -0.00326768    -0.0888391    0.00357466   2.52435e-20
  -0.00316566    -0.0864731     0.0036582   5.08376e-21
  -0.00306364    -0.0833901    0.00370393   3.49196e-21
  -0.00296162    -0.0792311    0.00367622   3.87856e-20
   -0.0028596    -0.0743171    0.00359889   1.31559e-19
  -0.00275758    -0.0684983    0.00344537   9.85065e-20
  -0.00265556    -0.0619415    0.00324091  -1.00532e-19
  -0.00255354    -0.0543699    0.00294383  -1.68404e-19
  -0.00245152    -0.0461864    0.00259976  -9.82449e-20
  -0.00234949    -0.0368023    0.00214817   -5.8883e-20
  -0.00224747    -0.0268481    0.00164441  -4.45613e-20
  -0.00214545    -0.0159145    0.00104667  -4.36176e-21
  -0.00204343   -0.00417227   0.000371808   1.30683e-20
  -0.00194141    0.00820053  -0.000367899   6.51497e-20
  -0.00183939     0.0217031   -0.00120945   4.42921e-20
  -0.00173737     0.0358312   -0.00211383   2.58114e-20
  -0.00163535     0.0507017   -0.00309055  -7.82686e-20
  -0.00153333     0.0666364   -0.00415879  -4.90926e-20
  -0.00143131     0.0833551   -0.00529736   1.39066e-19
  -0.00132929      0.100886   -0.00650337  -1.84405e-19
  -0.00122727      0.119274   -0.00777689  -3.69918e-20
  -0.00112525      0.138544   -0.00911539   3.00573e-20
  -0.00102323      0.158702    -0.0105144   8.61053e-20
 -0.000921212      0.179744     -0.011968    1.5004e-20
 -0.000819192      0.201649    -0.0134692             0
 -0.000717172      0.224382    -0.0150101  -5.35843e-22
 -0.000615152      0.247996    -0.0165855   4.61621e-20
 -0.000513131      0.272416    -0.0181857   3.36865e-22
 -0.000411111      0.297516    -0.0197984   4.49515e-21
 -0.000309091      0.323354    -0.0214148  -4.03987e-21
 -0.000207071      0.349725     -0.023024  -1.11048e-20
 -0.000105051      0.376595    -0.0246106   5.87677e-21
  -3.0303e-06      0.404016    -0.0261808  -8.66031e-26
  9.89899e-05      0.431158    -0.0276744   9.52992e-21
   0.00020101      0.458597    -0.0291293     2.515e-20
   0.00030303      0.485927    -0.0305145  -2.84341e-20
  0.000405051      0.512901    -0.0318173  -3.01536e-21
  0.000507071      0.539424    -0.0330363   2.87818e-20
  0.000609091      0.565161    -0.0341467   1.25281e-20
  0.000711111      0.589979      -0.03515  -4.77551e-20
  0.000813131      0.613724    -0.0360421   5.51003e-20
  0.000915152      0.636208    -0.0368158  -3.93651e-20
   0.00101717      0.657233    -0.0374639   2.20323e-21
   0.00111919       0.67661    -0.0379837   2.07676e-20
   0.00122121      0.694194    -0.0383736  -4.14312e-20
   0.00132323      0.709874    -0.0386337  -2.23187e-20
   0.00142525      0.723537    -0.0387619   4.25463e-20
   0.00152727      0.735188    -0.0387663  -3.63704e-20
   0.00162929      0.744904    -0.0386562   3.78613e-20
   0.00173131      0.752219     -0.038408   5.23657e-20
   0.00183333      0.757136    -0.0380333   1.15575e-20
   0.00193535       0.76015    -0.0375567  -1.74401e-21
   0.00203737      0.760762    -0.0369546  -1.59708e-20
   0.00213939      0.758808      -0.03623   2.35751e-20
   0.00224141      0.755088    -0.0354152  -2.69088e-20
   0.00234343      0.748543    -0.0344761  -5.45796e-20
   0.00244545        0.7404    -0.0334605    3.6173e-20
   0.00254747      0.729285    -0.0323183    4.6308e-20
   0.00264949      0.716676     -0.031109    2.2512e-20
   0.00275152      0.701536     -0.029814  -4.71681e-21
   0.00285354      0.685083    -0.0284644  -3.06184e-20
   0.00295556      0.665946    -0.0270159  -2.00414e-20
   0.00305758       0.64582    -0.0255396  -1.50969e-20
    0.0031596      0.622772    -0.0239636  -6.22089e-21
   0.00326162      0.598564    -0.0223547   1.79688e-20
   0.00336364      0.572177    -0.0207085   1.27408e-20
   0.00346566      0.544802    -0.0190492  -2.03927e-23
   0.00356768      0.515436     -0.017368  -5.25296e-21
    0.0036697      0.485433    -0.0157061  -1.34351e-20
   0.00377172       0.45381    -0.0140415  -1.64815e-21
   0.00387374      0.421455    -0.0124219   2.22266e-21
   0.00397576      0.388504    -0.0108427   7.01787e-21
   0.00407778      0.354987   -0.00932533   6.03947e-21
    0.0041798      0.320884   -0.00787244  -1.05345e-20
   0.00428182      0.286757   -0.00651264  -7.81436e-21
   0.00438384      0.252665   -0.00524868  -3.28984e-21
   0.00448586      0.218781   -0.00409294   6.95955e-21
   0.00458788      0.185424   -0.00306561             0
    0.0046899      0.152316   -0.00216468  -6.58047e-22
   0.00479192      0.120109   -0.00140774   2.01901e-21
   0.00489394     0.0886215  -0.000805192   -6.3124e-22
   0.00499596     0.0581098   -0.00036314   2.12946e-22
   0.00509798     0.0285739  -9.33153e-05  -8.83287e-23
       0.0052             0             0             0
