#           y           U_x           U_y           U_z
      -0.0049             0             0             0
  -0.00479798   -0.00671318  -0.000110973    2.4507e-23
  -0.00469596    -0.0115901  -0.000431997  -1.13428e-23
  -0.00459394    -0.0147019  -0.000944835  -6.68763e-23
  -0.00449192    -0.0160765   -0.00162944   8.05733e-23
   -0.0043899    -0.0157825   -0.00246692   8.18696e-22
  -0.00428788    -0.0137374   -0.00344781   -7.6273e-21
  -0.00418586    -0.0101353   -0.00455173   9.16024e-21
  -0.00408384   -0.00499752   -0.00576361  -4.66042e-21
  -0.00398182     0.0017569   -0.00707798  -3.40818e-21
   -0.0038798    0.00991952   -0.00847576   -7.3572e-21
  -0.00377778     0.0193927   -0.00994553    2.1346e-20
  -0.00367576     0.0302501    -0.0114841   2.79495e-20
  -0.00357374     0.0423232     -0.013078  -3.00416e-20
  -0.00347172     0.0555247    -0.0147198  -8.51407e-21
   -0.0033697     0.0698513    -0.0164087   1.17624e-20
  -0.00326768      0.084936    -0.0181233   3.33527e-20
  -0.00316566      0.101023    -0.0198695  -4.50739e-20
  -0.00306364      0.117517    -0.0216128  -5.17583e-20
  -0.00296162      0.134992    -0.0233939   8.53611e-20
   -0.0028596      0.152667    -0.0251365   1.45767e-20
  -0.00275758      0.171523    -0.0269888   5.72444e-21
  -0.00265556      0.190559    -0.0287947  -4.23723e-20
  -0.00255354      0.209862    -0.0305829   1.87276e-21
  -0.00245152       0.22974    -0.0324179  -1.57837e-20
  -0.00234949      0.249662    -0.0342044  -2.19662e-20
  -0.00224747       0.26963    -0.0359555   1.25343e-21
  -0.00214545       0.28982    -0.0377142   3.48695e-20
  -0.00204343      0.310104    -0.0394628   3.53007e-20
  -0.00194141      0.330206    -0.0411462  -6.01495e-20
  -0.00183939      0.350186    -0.0427903   -5.6744e-20
  -0.00173737      0.369979    -0.0443882   8.02187e-20
  -0.00163535        0.3895    -0.0459282   -3.5318e-20
  -0.00153333       0.40868    -0.0474036   5.05258e-20
  -0.00143131       0.42747    -0.0488141   5.94355e-22
  -0.00132929      0.445792    -0.0501522  -2.22271e-20
  -0.00122727      0.463568    -0.0514105  -1.96853e-20
  -0.00112525      0.480723    -0.0525834  -3.99358e-21
  -0.00102323      0.497187    -0.0536685   1.44038e-20
 -0.000921212      0.512874    -0.0546544   3.20927e-21
 -0.000819192      0.527712    -0.0555357   1.81229e-20
 -0.000717172       0.54163    -0.0563079  -1.96715e-20
 -0.000615152      0.554564    -0.0569668  -5.48003e-21
 -0.000513131      0.566373    -0.0574916  -1.88963e-20
 -0.000411111      0.577027    -0.0578874   3.50949e-20
 -0.000309091      0.586497    -0.0581559   -8.4864e-21
 -0.000207071       0.59474    -0.0582966  -2.24274e-21
 -0.000105051      0.601674    -0.0582928  -4.45546e-22
  -3.0303e-06      0.607311    -0.0581497  -1.61667e-21
  9.89899e-05      0.611628     -0.057936  -2.78959e-21
   0.00020101      0.614337    -0.0575302  -1.15208e-20
   0.00030303      0.615724    -0.0570012   1.27653e-20
  0.000405051       0.61568    -0.0563336    3.7351e-21
  0.000507071      0.614192    -0.0555314             0
  0.000609091      0.611334    -0.0546353   8.70851e-21
  0.000711111      0.607009    -0.0536131   2.02751e-22
  0.000813131      0.601115    -0.0524566   -4.5273e-21
  0.000915152      0.593841    -0.0511921   -1.5913e-20
   0.00101717      0.585212    -0.0498253  -5.92763e-20
   0.00111919      0.575263    -0.0483624   1.14088e-19
   0.00122121      0.564041    -0.0468107   5.04046e-20
   0.00132323       0.55157    -0.0451692  -3.35517e-20
   0.00142525      0.537945     -0.043456  -2.07591e-20
   0.00152727      0.523239    -0.0416816   2.83683e-22
   0.00162929      0.507535    -0.0398612   -3.5288e-20
   0.00173131      0.490921    -0.0379964  -2.74636e-20
   0.00183333      0.473389    -0.0360944   -5.2489e-20
   0.00193535      0.455147    -0.0341715   6.53475e-20
   0.00203737      0.436299    -0.0322376  -1.37197e-21
   0.00213939      0.416853    -0.0302849   9.62073e-22
   0.00224141      0.397027    -0.0283466   1.84412e-20
   0.00234343      0.376877    -0.0264353   7.04902e-20
   0.00244545      0.356514    -0.0245546  -6.82115e-20
   0.00254747      0.335915    -0.0226847    7.2155e-22
   0.00264949       0.31545    -0.0208739   8.58031e-23
   0.00275152       0.29507    -0.0191323   3.73399e-21
   0.00285354      0.274685    -0.0174152   3.89705e-20
   0.00295556      0.254818    -0.0157918   9.02808e-20
   0.00305758      0.235189    -0.0142345  -8.38057e-20
    0.0031596      0.216265    -0.0127555   -1.5267e-19
   0.00326162      0.197752    -0.0113757   2.48309e-20
   0.00336364          0.18    -0.0100657    3.2295e-20
   0.00346566      0.162521   -0.00883664  -3.20795e-22
   0.00356768      0.146048   -0.00770395    7.3196e-23
    0.0036697      0.129674   -0.00661113   2.17963e-20
   0.00377172      0.114595   -0.00565427   6.29555e-20
   0.00387374      0.100334   -0.00477466  -1.79297e-20
   0.00397576       0.08691   -0.00397513  -5.36559e-20
   0.00407778     0.0741494   -0.00324766   -1.2399e-20
    0.0041798     0.0624455   -0.00261161  -1.95628e-20
   0.00428182     0.0517503   -0.00205815   8.18249e-21
   0.00438384     0.0420506   -0.00158163   2.53517e-20
   0.00448586     0.0333957   -0.00118053  -7.30253e-21
   0.00458788     0.0255334  -0.000838729             0
